Recipient.Name,Std.Recipient.Name
"WOODARD, JAMES","WOODARD, JAMES"
"WOODRUFF, BRANDON","WOODRUFF, BRANDON"
"WOODRUFF, WOODY","WOODRUFF, WOODY"
"WOODSON, JAMIE","WOODSON, JAMIE"
"WOOLSEY, LINDA THOMAS","WOOLSEY, LINDA THOMAS"
"WOOTEN, CEDRICK D.","WOOTEN, CEDRICK D."
"WOOTEN-LEWIS, JOANN","WOOTEN-LEWIS, JOANN"
"WOOTTEN, JR., JOHN D.","WOOTTEN, JR., JOHN D."
"WORLEY, JOHN","WORLEY, JOHN"
"WRIGHT, DAVE","WRIGHT, DAVID"
"WRIGHT, DAVID","WRIGHT, DAVID"
"WRIGHT, JUSTIN","WRIGHT, JUSTIN"
"WRIGHT, MICK","WRIGHT, MICK"
"WRIGHT, STEVE R.","WRIGHT, STEVE R."
"WYNNE, MATT","WYNNE, MATT"
"YAGER, KEN","YAGER, KEN"
"YARBRO, JEFF","YARBRO, JEFF"
"YOAKUM, MARTHA","YOAKUM, MARTHA"
"YOKLEY, EDDIE","YOKLEY, EDDIE"
"YOKLEY, JESSICA B.","YOKLEY, JESSICA B."
"YORK, RANDALL A.","YORK, RANDALL A."
"YORK, TIM","YORK, TIM"
"YOUNG, JONATHAN","YOUNG, JONATHAN"
"YOUNG, KENNY","YOUNG, KENNY"
"YOUNG, PATTI LARIMER","YOUNG, PATTI LARIMER"
"YOUNGLOVE-MINER, SHEILA","YOUNGLOVE-MINER, SHEILA"
"ZACHARY, JASON","ZACHARY, JASON"
"ZACHARY, JOEY","ZACHARY, JOEY"
"ZAVOGIANNIS, LISA","ZAVOGIANNIS, LISA"
"ZELENIK, LOU ANN","ZELENIK, LOU ANN"
"ZELLERS, DAVID","ZELLERS, DAVID"
